species,recruitment
Alstonia angustifolia,1.744445117
Aporosa frutescens,18.12075129
Aporosa symplocoides,9.377206337
Archidendron clypearia,0.755575726
Baccaurea bracteata,6.530227215
Bhesa paniculata,1.070967039
Campnosperma squamatum,1.045458515
Elaeocarpus mastersii,16.00000091
Garcinia parvifolia,2.779168245
Gironniera nervosa,8.207187088
Gynotroches axillaris,4.842187717
Horsfieldia crassifolia,0.37149713
Knema malayana,3.014367441
Lophopetalum multinervium,0.501953754
Macaranga bancana,6.949741211
Macaranga gigantea,1.415969245
Macaranga recurvata,4.901607019
Mussaendopsis beccariana,0.766439253
Pellacalyx axillaris,0
Pometia pinnata,0.49652519
Prunus polystachya,1.528946354
Pternandra coerulescens,0
Pternandra echinata,3.210906577
Rhodamnia cinerea,0.034491677
Strombosia ceylanica,5.506448155
Syzygium pachyphyllum,4.302960203
Timonius flavescens,2.624695
Timonius wallichianus,3.487615969
Xanthophyllum flavescens,8.271303022
