"","a.dry","a.wet","b.dry","b.wet","c.dry","c.wet","a.null","b.null","c.null"
"Alstonia angustifolia",-2.43690352785107,-2.63166487290882,-0.565075485140571,-1.15432501926631,-3.67334233604087,-7.01478078914687,-2.7312316444067,-0.540362658701305,-3.60454362789489
"Aporosa frutescens",-2.4473503774864,-2.56511321254255,-0.641546734923249,-1.14025817009144,-3.25536839774589,-6.77066931957865,-2.73030232207479,-0.555666570391901,-3.56422415072727
"Aporosa symplocoides",-2.16550417440697,-2.30156241696718,-0.593651257142254,-1.0871094493504,-3.36398963935002,-6.8627465831165,-2.36371228535986,-0.526236165454072,-3.59662924873262
"Archidendron clypearia",-1.36896796323169,-1.61282502727167,-0.496025958255479,-1.01943149869073,-3.23398451798276,-6.82263314425557,-1.59011671900168,-0.498682819483903,-3.57239357013906
"Baccaurea bracteata",-2.3150750048272,-2.32784405646555,-0.615146201753412,-1.05925605849185,-3.25931538332985,-6.85609552044561,-2.56925476900743,-0.510383115044555,-3.65811953264911
"Bhesa paniculata",-2.24221854203906,-2.43509971956092,-0.520863498706778,-1.13314598090531,-3.69428274658548,-7.0191987982407,-2.40353929845293,-0.515504291970414,-3.58198190981293
"Campnosperma squamatum",-1.74666982559106,-1.71123341467794,-0.607898641440225,-1.04121321926523,-3.12200168801024,-6.66151092972004,-1.89681384001769,-0.504388194959771,-3.59142496744054
"Elaeocarpus mastersii",-2.19333445172335,-2.46141519308367,-0.546052055479861,-1.15088953218398,-3.44777194419468,-6.86843727808177,-2.45803465980608,-0.53730571268637,-3.5539654316659
"Garcinia parvifolia",-2.54514449882277,-2.58214013907965,-0.554984005611564,-1.07850677340237,-3.94649290604694,-7.34590067384752,-2.6768489818632,-0.496584215493169,-3.74313852943076
"Gironniera nervosa",-2.12209958739599,-2.31876703657204,-0.44532481655499,-1.06717706757437,-3.87662140189057,-7.2628179639841,-2.18448712338674,-0.444788500001623,-3.74603109562366
"Gynotroches axillaris",-2.63889522811844,-2.88188226395641,-0.536100418061803,-1.15076562137098,-3.88856692690433,-7.21216455783003,-3.01565216568074,-0.521119713656421,-3.72644056794841
"Horsfieldia crassifolia",-2.18280303495639,-2.3060408675505,-0.572068031219367,-1.08094411793731,-3.42698777808594,-6.98275955897238,-2.4782315057353,-0.518275198868335,-3.63440077056118
"Knema malayana",-2.26616221129043,-2.31282371421767,-0.631665144766678,-1.07949895074303,-3.18710712424795,-6.78274453042932,-2.53344902262047,-0.534539632460072,-3.5867751675197
"Lophopetalum multinervium",-2.10035184682921,-2.20608106508806,-0.562700039581006,-1.07172789008027,-3.43035962179831,-6.90191571081248,-2.4172228396508,-0.501017334200262,-3.66940063878939
"Macaranga bancana",-2.23862244978823,-2.15188098209175,-0.67831353512463,-1.08083165542043,-2.89561360073637,-6.54896432736149,-2.48338460386203,-0.555611468925906,-3.53815211932556
"Macaranga gigantea",-1.79773626474786,-1.93045781245619,-0.523432302264949,-1.02853255582738,-3.50474986194469,-7.0459259976746,-2.03047421871588,-0.49086811822818,-3.63918734863441
"Macaranga recurvata",-1.86947712494058,-2.05753085687801,-0.478557085030574,-1.04047124861435,-3.65777776796517,-7.10470440504118,-2.20447764922339,-0.491430479148066,-3.62649397063534
"Mussaendopsis beccariana",-2.34797708460442,-2.49137486704624,-0.560111774610907,-1.06090580624709,-3.47094987384891,-7.03233502666477,-2.69969533768506,-0.512919178375125,-3.70359865748605
"Pellacalyx axillaris",-2.29475113055512,-2.46730135822506,-0.586372647188833,-1.1166275717696,-3.45276647219508,-6.93886753763103,-2.62793528101924,-0.534389934044495,-3.57865760093778
"Pometia pinnata",-2.26595157384834,-2.30794057469662,-0.586163108991063,-1.05577512570936,-3.3267788935104,-6.80731129811152,-2.51113751926409,-0.4929044051294,-3.68283320144516
"Prunus polystachya",-1.76180016764921,-1.95842913858964,-0.411306158982466,-1.00923574156253,-3.44866097578339,-6.92517342848175,-1.84422183172101,-0.459289430020258,-3.58865355094577
"Pternandra coerulescens",-2.36286176677345,-2.50831652743305,-0.583157423163696,-1.12586502564326,-3.43725687084914,-6.88751981741555,-2.7315946315235,-0.530934224687146,-3.60399455836692
"Pternandra echinata",-2.34972933163845,-2.41428401727837,-0.625678148108493,-1.08851588212939,-3.34591626815632,-6.8755941538945,-2.62240413368156,-0.536048139041076,-3.59933843695323
"Rhodamnia cinerea",-2.89361900725401,-2.88337353615055,-0.694720285498123,-1.14078019959756,-3.39058572463016,-6.88893067520786,-3.20634523560085,-0.574571510443617,-3.56549794030574
"Strombosia ceylanica",-2.20006285832502,-2.17370951788852,-0.625063118237979,-0.98837735336394,-3.17583842404047,-6.82179165238744,-2.39423474293497,-0.516445308350032,-3.63941562115648
"Syzygium pachyphyllum",-2.3136715425149,-2.28710582505596,-0.633567722665751,-1.05580123979458,-3.12436575997671,-6.71968322724942,-2.53447654219774,-0.525400636668151,-3.60467731371347
"Timonius flavescens",-2.47562525602401,-2.63071623971601,-0.618206626252049,-1.13766125235132,-3.38252999030285,-6.88593621568148,-2.82294933041893,-0.550736992496952,-3.58084557728787
"Timonius wallichianus",-2.4479279967488,-2.57858843422088,-0.622509233279136,-1.11626030531522,-3.56646715753247,-7.08498588405543,-2.68730409225303,-0.535653824384778,-3.64605443602697
"Xanthophyllum flavescens",-2.1208166683378,-2.20411369099259,-0.522138560186641,-1.03494118002419,-3.68795971326463,-7.17915944696374,-2.34357329076846,-0.494480663674109,-3.69722787612605
