plot,easting_UTM,northing_UTM,plot_type,total_nitrogen(mg/kg),extractable_phosphorus(mg/kg),extractable_potassium(mg/kg),organic_carbon(%),swamp_area
Q101,367829.39,154419.98,dry,1960,11,38.6,3.4,0
Q102,367444.23,154300.67,dry,1680,1.46,37.2,2.9,0
Q104,367249.04,154463.83,wet,13440,8.04,365,26.7,400
Q105,367162.03,153291.69,wet,11060,8.68,298,21.9,400
Q107,367707.46,154675.5,dry,3500,9.96,51.8,6.1,0
Q109,367731.92,154421.36,dry,420,4.52,40,2.9,0
Q111,367547.02,154257.06,wet,2520,7.5,96.8,6.9,400
Q112,367889.54,154567.76,wet,7140,9.09,70.7,12.1,400
Q203a,367324.1,153706.05,wet,3920,11.7,93.2,7.4,400
Q204,367515.14,153471.25,dry,2380,7.82,55,3.7,0
Q206,367752.45,154088.91,wet,5740,10.4,124,9.2,400
Q208,367079.97,153022.51,dry,2520,12.2,57.8,5.3,257
Q209,367353.55,153424.9,wet,3080,17.7,54.8,6.2,400
Q213,367036.41,154463.83,dry,2380,5.18,40,4.5,0
Q217,367046.26,153921.33,dry,1960,3.97,36.7,3.6,0
Q220,367645.27,153367.7,wet,3780,4.22,102,12.6,340
Q301,366865.46,152605.49,wet,2800,12.2,49.6,5.6,161
Q302,367859.18,153482.91,dry,2380,5.79,41.7,3.7,0
Q305,367216.55,152911.33,dry,1820,5.94,28.7,3.5,0
Q306,366938.57,153509.57,dry,2240,7.42,31.8,3.8,0
Q307,367126.41,152887.94,dry,2100,4.63,39.6,3.4,0
Q308a,366901.57,154051.97,wet,3780,5.86,129,5.9,400
Q311a,366892,152976,wet,2800,11,36.7,4.5,57
Q319a,366746,152919,wet,7280,5.62,182,13.3,360
Q320a,367847.05,152809.63,wet,1680,2.43,37.9,2,260
Q404a,366728.63,152453.66,wet,4200,13.3,118,10.8,76
Q405,367833.2,152700.41,dry,1820,4.48,26.6,2.3,0
Q408,366665.52,154157.23,dry,2100,5.55,22.1,3.7,0
Q414a,366584.24,153174.11,wet,3780,4.9,75.8,6.7,320
Q504,368127.59,153110.75,wet,3220,3.99,40.8,7.3,185
Q509,368082.06,153506.56,dry,2380,8.61,45.4,3.8,0
Q1,368218.32,152765.67,dry,1820,5.95,40.8,2.6,0
Q2,368050.98,152769.73,dry,2100,4.71,36.9,3.7,0
Q3,367657.82,153775.42,wet,6720,10.7,63.7,13.1,400
Q4,367578.36,153748.27,wet,7280,5.1,94.6,13.1,400
Q6,367579.27,154668.52,wet,6860,5.64,173,17.3,400
Q7,367439.6,153931.42,dry,1680,3.57,28.7,2.6,0
Q8,367231.23,153997.97,dry,2660,11.9,51.9,3.7,0
Q9,367457.54,154657.2,wet,10500,7,231,20.9,400
Q10,367850.46,152960.87,wet,3500,1.38,60.3,6.3,335
